BenefitRankingUIActivityLog,,,,,,
Plan Number,Element Path,Field,Row,Description,Updated By,Updated Date
H0543121089,Benefit Ranking,Ranking Release,38777,Ranking was released,v-tejashwareea,8/16/2022 15:10
H0543121089,Benefit Ranking,Benefit Acquisition Ranking,38777,Benefit Acquisition Ranking changed from 0 to 1,v-tejashwareea,8/16/2022 15:09
H4604018053,Benefit Ranking,Ranking Release,38778,Ranking was released,v-tejashwareea,8/16/2022 15:06
H4604018053,Benefit Ranking,Benefit Acquisition Ranking,38778,Benefit Acquisition Ranking changed from 0 to 1,v-tejashwareea,8/16/2022 15:03
H3113014000,Benefit Ranking,Benefit Acquisition Ranking,33438,Benefit Acquisition Ranking changed from 6 to 5,acrayto2,8/9/2022 15:06
H3113014000,Benefit Ranking,Benefit Acquisition Ranking,33437,Benefit Acquisition Ranking changed from 0 to 15,acrayto2,8/9/2022 15:06
H3113014000,Benefit Ranking,Benefit Acquisition Ranking,33436,Benefit Acquisition Ranking changed from 12 to 11,acrayto2,8/9/2022 15:06
H3113014000,Benefit Ranking,Benefit Acquisition Ranking,33435,Benefit Acquisition Ranking changed from 4 to 3,acrayto2,8/9/2022 15:06
H3113014000,Benefit Ranking,Benefit Acquisition Ranking,33434,Benefit Acquisition Ranking changed from 13 to 12,acrayto2,8/9/2022 15:06
H3113014000,Benefit Ranking,Benefit Acquisition Ranking,33433,Benefit Acquisition Ranking changed from 8 to 7,acrayto2,8/9/2022 15:06
H3113014000,Benefit Ranking,Benefit Acquisition Ranking,33432,Benefit Acquisition Ranking changed from 15 to 14,acrayto2,8/9/2022 15:06
H3113014000,Benefit Ranking,Benefit Acquisition Ranking,33430,Benefit Acquisition Ranking changed from 2 to 1,acrayto2,8/9/2022 15:06
H3113014000,Benefit Ranking,Benefit Acquisition Ranking,33429,Benefit Acquisition Ranking changed from 10 to 9,acrayto2,8/9/2022 15:06
H3113014000,Benefit Ranking,Benefit Acquisition Ranking,33426,Benefit Acquisition Ranking changed from 11 to 10,acrayto2,8/9/2022 15:06
H3113014000,Benefit Ranking,Benefit Acquisition Ranking,33425,Benefit Acquisition Ranking changed from 3 to 2,acrayto2,8/9/2022 15:06
H3113014000,Benefit Ranking,Benefit Acquisition Ranking,33422,Benefit Acquisition Ranking changed from 5 to 4,acrayto2,8/9/2022 15:06
H3113014000,Benefit Ranking,Benefit Acquisition Ranking,33421,Benefit Acquisition Ranking changed from 9 to 8,acrayto2,8/9/2022 15:06
H3113014000,Benefit Ranking,Benefit Acquisition Ranking,33418,Benefit Acquisition Ranking changed from 14 to 13,acrayto2,8/9/2022 15:06
H3113014000,Benefit Ranking,Benefit Acquisition Ranking,33417,Benefit Acquisition Ranking changed from 7 to 6,acrayto2,8/9/2022 15:06
H4514019000,Benefit Ranking,Benefit Acquisition Ranking,32177,Benefit Acquisition Ranking changed from 7 to 6,acrayto2,8/9/2022 14:59
